dataset_id,badge_id,frequency,amplitude,timestamp
5,3,531,0.00161163,152933
5,3,625,0.00418075,152934
5,3,515,0.00376458,152935
5,3,15,0.00620869,152936
5,3,656,0.00458838,152937
5,3,359,0.00693033,152938
5,3,375,0.0053012,152939
5,3,187,0.00637623,152940
5,3,718,0.00383836,152941
5,3,15,0.00652042,152942
5,3,1031,0.00341795,152943
5,3,15,0.00686285,152944
5,3,562,0.00545447,152945
5,3,15,0.0077361,152946
5,3,171,0.0416874,152947
5,3,15,0.0382178,152948
5,3,187,0.00481362,152949
5,3,15,0.00981259,152950
5,3,3796,0.00636102,152951
5,3,671,0.0136171,152952
5,3,703,0.00494469,152953
5,3,640,0.0129062,152954
5,3,703,0.00933882,152955
5,3,687,0.0104104,152956